link,name,season,birthdate,hometown,occupation,player_description
/wiki/Sonja_Christopher,Sonja Christopher,Survivor: Borneo,"January 28, 1937 (1937-01-28) (age 87)","Walnut Creek, California",Musician,"
Sonja was born and raised in Olympia, Washington. Her studies at Whitman College in Walla Walla, Washington, the University of Oslo in Norway, the University of Washington in Seattle and the University of California, Berkeley, produced a Bachelor of Science degree in psychology, along with a teaching credential.
Before retiring, Sonja worked as an investment counselor, tennis teacher and elementary school teacher. She currently works part-time as a music therapist, playing the banjo as she leads sing-alongs at Alzheimer's centers. She also enjoys performing in local community theater. Her favorite sport is swimming, although it used to be tennis, which she played competitively for a number of years. She also enjoys playing Bridge.
In December 1997, Sonja was diagnosed with invasive breast cancer. She underwent pre-surgical chemotherapy, followed by lumpectomy and radiation and has resumed a full, healthy life.
Sonja describes herself as courageous, open and fun-loving. In describing her perfect day, Sonja would wake up feeling good and counting her blessings. She would enjoy a cup of coffee while reading the paper before heading out to exercise (walk, bike, swimming or yoga). Afterwards, she would connect with a friend by phone or over lunch before or after performing at a nursing home. At some point in her day, she would discover a new interest, ""be there"" for someone in need, have a new idea or fix something around the house and find that all the desk work which requires a good deal of her time would miraculously get done by itself. Capping off her perfect day would be an evening at the theatre or movies with a dear friend, after which she would crawl into bed with a good book.
Sonja currently resides in Walnut Creek, California, about 45 minutes from her son, Dan. She is on the Board of Directors at her the Unitarian Universalist Church and was instrumental as a fundraiser in the building of the Regional Center for the Arts. She is also is a member of the Diable Light Opera Company and Contra Costa Musical Theatre, and also participates in local video and computer clubs. Her birth date is Jan. 28, 1937.[1]

"
/wiki/B.B._Andersen,B.B. Andersen,Survivor: Borneo,"January 18, 1936","Mission Hills, Kansas",Real Estate Developer,"
Originally from South Dakota, B.B. studied Civil Engineering at Kansas State University in Manhattan, Kansas, before becoming a general contractor and real estate developer. His talents eventually allowed him to own and operate a successful construction and development company. Also active in politics, Andersen was appointed by President Reagan to the Advisory Board of the Defense Intelligence Agency where he then served for 11 ½ years. It was also known that he declined several ambassadorships that were offered him during the Bush administration.
An adventure-seeker by nature, B.B. has toured through Mexico, the western United States and the Great Lakes on his motorcycle. An avid sailor, he had a 53' ketch built in La Rochelle, France and sailed it from the Bay of Biscay into the Mediterranean Sea where he eventually moored it in Hyères, France. In 1993, he sailed from Ft. Lauderdale, Florida across the Atlantic to Lisbon, Portugal, and the Canary Islands. While skiing remains his favorite sport, he is also a certified scuba diver. Additionally, he has logged over 8,500 hours of flight time as a private pilot and holds multi-engine, commercial and instrument ratings.
B.B. currently divides his time between Mission Hills, Kansas, and Vail, Colorado, with his wife and their daughter. He has four additional children who live and work around the country. Still active in real estate development, he is currently a member of World Presidents Organization, Kansas City Presidents Organization and the Vail Valley Foundation. His birth date is Jan. 18, 1936.[2]

"
/wiki/Stacey_Stillman,Stacey Stillman,Survivor: Borneo,"August 11, 1972 (1972-08-11) (age 51)","San Francisco, California",Attorney,"
Stacey lives in San Francisco and practices corporate law at a law firm that specializes in representing technology companies. She earned her JD degree from New York University School of Law in 1998 and completed her undergraduate degree at the State University of New York at Binghamton in 1994, with a combined BA degree in both Physics and the Politics & Philosophy of Law.
Although she now resides on the West Coast, Stacey spent the majority of her life on the East Coast, growing up on Long Island and attending school in upstate New York and Manhattan.
The three adjectives Stacey uses to describe herself are intuitive, direct and sarcastic. She is most proud of remaining optimistic about life and people despite experiencing some emotionally difficult times, including overcoming thyroid cancer. Her perfect day would be taking a long hike along the coastal bluff and redwoods, followed by a foot rub and nap, and, finally, enjoying a gourmet dinner with good wine and great friends.
She has just been approved as a volunteer for the Big Brothers and Big Sisters of San Francisco program, and is awaiting assignment to a little girl. Stacey is currently single and enjoying her own ""reality"" living situation with four roommates and one dog. Her birth date is Aug. 11, 1972.[2]

"
/wiki/Ramona_Gray,Ramona Gray,Survivor: Borneo,"January 20, 1971 (1971-01-20) (age 53)","Edison, New Jersey",Biochemist/Chemist,"
Ramona is a research chemist whose company works to fit together chemical compounds that may potentially unlock combinations that will be used to develop disease-fighting drugs.
Growing up in a single parent home in Hampton, Virginia, Ramona credits her mother for helping her live up to her potential. In 1993, Ramona received a Bachelor of Science degree in chemistry from Howard University in Washington, D.C. Continuing her studies at Howard, she received her Masters of Science degree in chemistry in 1997.
Ramona describes herself as independent, out-going and meticulous. In her spare time, she enjoys skydiving, kick-boxing, basketball, martial arts (she has a black belt in karate) and basically any other form of activity that gives her a good workout. She is a fan of the television show ""ER"" and the feature film ""The Matrix."" Ramona musical interests include gospel, jazz, pop, r&b, classical and rap.
Ramona currently resides in Edison, New Jersey. She is a member of the American Chemical Society and Delta Sigma Theta Sorority, Inc. She regularly attends the First Baptist Church of Lincoln Gardens in Somerset, New Jersey. Her birth date is January 20, 1971.[1]

"
/wiki/Dirk_Been,Dirk Been,Survivor: Borneo,"June 15, 1976 (1976-06-15) (age 47)","Spring Green, Wisconsin",Dairy Farmer,"
Dirk graduated from Sauk Prairie High School before earning his bachelor's degree of arts in Religious Studies from Seattle Pacific University in Washington. He currently works as a substitute teacher while also helping to take care of his family's dairy farm.
Dirk loves fishing, dancing and blind dates. Having played basketball in high school and college, it is hands-down his favorite sport. He prefers to watch ""The Simpsons"" and ""Saturday Night Live"" on television, and declares ""Indiana Jones: The Lost Ark"" and ""The Matrix"" as his favorite movies. Describing himself as energetic, funny and loud, he is most proud of being involved with helping disadvantaged kids reach their full potential. He lists Martin Luther King, Jr. and Larry Bird as his personal heroes because he believes they are two examples of effective leaders who led by example.
Dirk's perfect day begins with an early morning fishing trip, followed by a competitive game of basketball until it's time to head for dinner at his favorite pizza place. Afterwards, he and his friends dance the night away.
Dirk resides in Spring Green, Wisconsin. His birth date is June 15, 1976.[2]

"
/wiki/Joel_Klug,Joel Klug,Survivor: Borneo,"April 13, 1972 (1972-04-13) (age 51)","Sherwood, Arkansas",Health Club Consultant,"
One of four siblings, Joel grew up on a dairy farm approximately 20 minutes outside of Green Bay, Wisconsin. During his junior year at Reedsville Public High School, Joel joined the United States Coast Guard where he remained with a reserve unit for approximately one year. He then worked various jobs, included working for a sheet metal company, as a landscaper and also as a construction worker, before accepting a job at a health club.
In 1997, Joel relocated to Little Rock, Arkansas, after being recruited by a financial company whose primary clients are health clubs. At 25 years old, Joel was hired as a National Account Manager and became one of the youngest individuals working in his position, although he quickly proved himself to his peers. In two-and-a-half years, his contributions have helped the company generate record-breaking growth.
Joel describes himself as confident, strong-willed and adventurous. When not traveling the country, Joel enjoys playing football and golf. His favorite television show is ""Arliss,"" and his favorite feature films are ""Usual Suspects"" and ""Dirty Rotten Scoundrels."" His perfect day would start with a chartered fishing trip in the Gulf of Mexico, followed by a dinner of grilled snapper and mackerel. Enjoying the sunset from the deck of a condo in Sanibel Island, Florida, he'd smoke a great cigar while listening to the surf.
Joel currently resides in Sherwood, Arkansas. He is a member of the International Health & Racquet Sports Association. His birth date is April 13, 1972.[2]

"
/wiki/Gretchen_Cordy,Gretchen Cordy,Survivor: Borneo,"February 7, 1962 (1962-02-07) (age 62)","Clarksville, Tennessee",Teacher,"
Originally from New York City, Gretchen attended Freedom High School in Bethlehem, Pennsylvania. She spent six years as a survival instructor for the US Air Force where she earned the Cadre Award from her survival instructor training class (for being the person who most exemplifies the spirit of survival).
Gretchen describes herself as strong-willed (stubborn), compassionate and open-minded. The two things that she is most proud of are her children. She enjoys camping, hiking, canoeing and swimming. Gretchen's hobby is working in her yard, and she likes listening to alternative music. When describing her perfect day, it would be camping with her family in the Hoh Rain Forest in Washington State.
Gretchen currently works part-time at a preschool in Clarksville, Tennessee. Happily married for 14 years, she and her husband have two children, one dog and a ferret. She is a member of Amnesty International and her children's PTA. Her birth date is Feb. 7, 1962.[1]

"
/wiki/Greg_Buis,Greg Buis,Survivor: Borneo,"December 31, 1975 (1975-12-31) (age 48)","Gold Hill, Colorado",Ivy League Graduate,"
Born in Plano, Texas, Greg Buis is one of four siblings (two brothers and a sister). He studied anthropology at Brown University, graduating in 1999. He is currently based in Gold Hill, Colorado, although he continues to travel around the world. He has lived in Ridgewood, New Jersey; Providence, Rhode Island; Boulder, Colorado; Santa Barbara, California and Australia. Along the way, he has been employed as a survival skill program director, boat mechanic, a stone mason and a restaurant manager.
Greg describes himself as energetic, hardworking and dedicated. His favorite color is green and he loves the smell of a pine forest. He says his perfect day would entail stalking a wild animal slowly and quietly enough to surprise it by touching it. His birth date is Dec. 31, 1975.[1]

"
/wiki/Jenna_Lewis,Jenna Lewis,Survivor: Borneo,"July 16, 1977 (1977-07-16) (age 46)","Franklin, New Hampshire;Burbank, California",Student,"


Jenna currently attends classes at New Hampshire Technical Institute. Previous occupations include work as an insurance claims analyst, daycare worker and waitress.
Jenna describes herself as energetic, competent and athletic. Her favorite sports are football and track & field - she'll add basketball to this list only if she's playing. Her favorite television show is ""Ally McBeal"" and her favorite feature film is ""Austin Powers."" Her musical tastes run the gamut of teen pop to hard rock to rap.
A perfect day for Jenna begins with an early hike up Mt. Cardigan before going for a swim. She would then take her daughters to the playground, followed by a raucous game of paintball with six of her close friends. At night, she'd go dancing.

Jenna currently resides in Franklin, New Hampshire with her twin daughters, Sadie and Sabrina. Her birth date is July 16, 1977.[1]
"
/wiki/Gervase_Peterson,Gervase Peterson,Survivor: Borneo,"November 2, 1969 (1969-11-02) (age 54)","Willingboro, New Jersey;Philadelphia, Pennsylvania",YMCA Basketball Coach;Cigar Lounge Owner,"


Gervase hails from Philadelphia and currently lives in Willingboro, New Jersey. He is a youth basketball coach and his previous occupations include an auditor, a field representative for Nielsen Media Research and a test technician for I.B.M. He attended Lincoln Technical Institute for two years.
Gervase's proudest accomplishment is living to the age of 30. His perfect day would consist of playing with his kids, enjoying a game of basketball and football, followed up by a large incredible meal. His hero is his mother for all the sacrifice and love she gave after his father passed way when he was fifteen years old.

His three favorite hobbies are watching movies, basketball/football and anything revolving around actress Salma Hayek. Gervase describes himself as confident and responsible, but has trouble dealing with indecisive people who are afraid of trying new things. His birth date is Nov. 2, 1969.[1]
"
