link,name,winner,season_no,days,start_date,end_date,num_castaways
/wiki/Survivor:_Borneo,Survivor: Borneo,Richard Hatch,1,39,"March 13, 2000","April 20, 2000",16
/wiki/Survivor:_The_Australian_Outback,Survivor: The Australian Outback,Tina Wesson,2,42,"October 23, 2000","December 3, 2000",16
/wiki/Survivor:_Africa,Survivor: Africa,Ethan Zohn,3,39,"July 11, 2001","August 18, 2001",16
/wiki/Survivor:_Marquesas,Survivor: Marquesas,Vecepia Towery,4,39,"November 12, 2001","December 20, 2001",16
/wiki/Survivor:_Thailand,Survivor: Thailand,Brian Heidik,5,39,"June 10, 2002","July 18, 2002",16
/wiki/Survivor:_The_Amazon,Survivor: The Amazon,Jenna Morasca,6,39,"November 4, 2002","December 12, 2002",16
/wiki/Survivor:_Pearl_Islands,Survivor: Pearl Islands,Sandra Diaz-Twine,7,39,"June 23, 2003","July 31, 2003",16
/wiki/Survivor:_All-Stars,Survivor: All-Stars,Amber Brkich,8,39,"November 3, 2003","December 11, 2003[1]",18
/wiki/Survivor:_Vanuatu,Survivor: Vanuatu,Chris Daugherty,9,39,"June 26, 2004","August 3, 2004",18
/wiki/Survivor:_Palau,Survivor: Palau,Tom Westman,10,39,"November 1, 2004","December 9, 2004",20
/wiki/Survivor:_Guatemala,Survivor: Guatemala,Danni Boatwright,11,39,"June 27, 2005","August 4, 2005",18
/wiki/Survivor:_Panama,Survivor: Panama,Aras Baskauskas,12,39,"October 31, 2005","December 8, 2005",16
/wiki/Survivor:_Cook_Islands,Survivor: Cook Islands,Yul Kwon,13,39,"June 26, 2006","August 3, 2006",20
/wiki/Survivor:_Fiji,Survivor: Fiji,Earl Cole,14,39,"October 30, 2006","December 7, 2006",19
/wiki/Survivor:_China,Survivor: China,Todd Herzog,15,39,"June 25, 2007","August 2, 2007",16
/wiki/Survivor:_Micronesia,Survivor: Micronesia,Parvati Shallow,16,39,"October 29, 2007","December 6, 2007[1]",20
/wiki/Survivor:_Gabon,Survivor: Gabon,Bob Crowley,17,39,"June 23, 2008","July 31, 2008",18
/wiki/Survivor:_Tocantins,Survivor: Tocantins,J.T. Thomas,18,39,"November 1, 2008","December 9, 2008",16
/wiki/Survivor:_Samoa,Survivor: Samoa,Natalie White,19,39,"June 11, 2009","July 19, 2009",20
/wiki/Survivor:_Heroes_vs._Villains,Survivor: Heroes vs. Villains,Sandra Diaz-Twine,20,39,"August 9, 2009","September 16, 2009",20
/wiki/Survivor:_Nicaragua,Survivor: Nicaragua,Fabio Birza,21,39,"June 14, 2010","July 22, 2010",20
/wiki/Survivor:_Redemption_Island,Survivor: Redemption Island,Rob Mariano,22,39,"August 16, 2010","September 23, 2010",18
/wiki/Survivor:_South_Pacific,Survivor: South Pacific,Sophie Clarke,23,39,"May 30, 2011","July 7, 2011",18
/wiki/Survivor:_One_World,Survivor: One World,Kim Spradlin,24,39,"August 1, 2011","September 8, 2011",18
/wiki/Survivor:_Philippines,Survivor: Philippines,Denise Stapley,25,39,"March 18, 2012","April 25, 2012",18
/wiki/Survivor:_Caramoan,Survivor: Caramoan,John Cochran,26,39,"May 21, 2012","June 28, 2012",20
/wiki/Survivor:_Blood_vs._Water,Survivor: Blood vs. Water,Tyson Apostol,27,39,"May 19, 2013","June 27, 2013[1]",20
/wiki/Survivor:_Cagayan,Survivor: Cagayan,Tony Vlachos,28,39,"July 10, 2013","August 17, 2013",18
/wiki/Survivor:_San_Juan_del_Sur,Survivor: San Juan del Sur,Natalie Anderson,29,39,"June 1, 2014","July 10, 2014[1]",18
/wiki/Survivor:_Worlds_Apart,Survivor: Worlds Apart,Mike Holloway,30,39,"August 4, 2014","September 11, 2014",18
/wiki/Survivor:_Cambodia,Survivor: Cambodia,Jeremy Collins,31,39,"May 31, 2015","July 8, 2015[1]",20
/wiki/Survivor:_Ka%C3%B4h_R%C5%8Dng,Survivor: Kaôh Rōng,Michele Fitzgerald,32,39,"March 30, 2015","May 7, 2015[1]",18
/wiki/Survivor:_Millennials_vs._Gen_X,Survivor: Millennials vs. Gen X,Adam Klein,33,39,"April 4, 2016","May 12, 2016[2]",20
/wiki/Survivor:_Game_Changers,Survivor: Game Changers,Sarah Lacina,34,39,"June 6, 2016","July 14, 2016[2]",20
/wiki/Survivor:_Heroes_vs._Healers_vs._Hustlers,Survivor: Heroes vs. Healers vs. Hustlers,Ben Driebergen,35,39,"April 3, 2017","May 11, 2017[1]",18
/wiki/Survivor:_Ghost_Island,Survivor: Ghost Island,Wendell Holland,36,39,"June 5, 2017","July 13, 2017[2]",20
/wiki/Survivor:_David_vs._Goliath,Survivor: David vs. Goliath,Nick Wilson,37,39,"March 29, 2018","May 6, 2018[3]",20
/wiki/Survivor:_Edge_of_Extinction,Survivor: Edge of Extinction,Chris Underwood,38,39,"May 30, 2018","July 7, 2018[1]",18
/wiki/Survivor:_Island_of_the_Idols,Survivor: Island of the Idols,Tommy Sheehan,39,39,"March 21, 2019","April 28, 2019[1]",20
/wiki/Survivor:_Winners_at_War,Survivor: Winners at War,Tony Vlachos,40,39,"May 22, 2019","June 29, 2019[1]",20
/wiki/Survivor_41,Survivor 41,Erika Casupanan,41,26,"April 15, 2021","May 10, 2021[1]",18
/wiki/Survivor_42,Survivor 42,Maryanne Oketch,42,26,"May 16, 2021","June 10, 2021[1]",18
/wiki/Survivor_43,Survivor 43,Mike Gabler,43,26,"May 2, 2022","May 27, 2022[1]",18
/wiki/Survivor_44,Survivor 44,Yam Yam Arocho,44,26,"June 5, 2022","June 30, 2022[1]",18
/wiki/Survivor_45,Survivor 45,Dee Valladares,45,26,"April 16, 2023","May 11, 2023[1]",18
